原字,类型,前加字,上加字,基字,下加字,再下加字,元音,后加字,再后加字
ལྕིབས,藏文字符,,ལ,ྕ,,,ི,བ,ས
ལྕིམས,藏文字符,,ལ,ྕ,,,ི,མ,ས
ལྕུགས,藏文字符,,ལ,ྕ,,,ུ,ག,ས
ལྕུངས,藏文字符,,ལ,ྕ,,,ུ,ང,ས
ལྕུབས,藏文字符,,ལ,ྕ,,,ུ,བ,ས
ལྕུམས,藏文字符,,ལ,ྕ,,,ུ,མ,ས
ལྕེགས,藏文字符,,ལ,ྕ,,,ེ,ག,ས
ལྕེངས,藏文字符,,ལ,ྕ,,,ེ,ང,ས
ལྕེབས,藏文字符,,ལ,ྕ,,,ེ,བ,ས
ལྕེམས,藏文字符,,ལ,ྕ,,,ེ,མ,ས
ལྕོགས,藏文字符,,ལ,ྕ,,,ོ,ག,ས
ལྕོངས,藏文字符,,ལ,ྕ,,,ོ,ང,ས
ལྕོབས,藏文字符,,ལ,ྕ,,,ོ,བ,ས
ལྕོམས,藏文字符,,ལ,ྕ,,,ོ,མ,ས
ལྗགས,藏文字符,,ལ,ྗ,,,,ག,ས
ལྗངས,藏文字符,,ལ,ྗ,,,,ང,ས
ལྗབས,藏文字符,,ལ,ྗ,,,,བ,ས
ལྗམས,藏文字符,,ལ,ྗ,,,,མ,ས
ལྗིགས,藏文字符,,ལ,ྗ,,,ི,ག,ས
ལྗིངས,藏文字符,,ལ,ྗ,,,ི,ང,ས
ལྗིབས,藏文字符,,ལ,ྗ,,,ི,བ,ས
ལྗིམས,藏文字符,,ལ,ྗ,,,ི,མ,ས
ལྗུགས,藏文字符,,ལ,ྗ,,,ུ,ག,ས
ལྗུངས,藏文字符,,ལ,ྗ,,,ུ,ང,ས
ལྗུབས,藏文字符,,ལ,ྗ,,,ུ,བ,ས
ལྗུམས,藏文字符,,ལ,ྗ,,,ུ,མ,ས
ལྗེགས,藏文字符,,ལ,ྗ,,,ེ,ག,ས
ལྗེངས,藏文字符,,ལ,ྗ,,,ེ,ང,ས
ལྗེབས,藏文字符,,ལ,ྗ,,,ེ,བ,ས
ལྗེམས,藏文字符,,ལ,ྗ,,,ེ,མ,ས
ལྗོགས,藏文字符,,ལ,ྗ,,,ོ,ག,ས
ལྗོངས,藏文字符,,ལ,ྗ,,,ོ,ང,ས
ལྗོབས,藏文字符,,ལ,ྗ,,,ོ,བ,ས
ལྗོམས,藏文字符,,ལ,ྗ,,,ོ,མ,ས
ལྟགས,藏文字符,,ལ,ྟ,,,,ག,ས
ལྟངས,藏文字符,,ལ,ྟ,,,,ང,ས
ལྟབས,藏文字符,,ལ,ྟ,,,,བ,ས
ལྟམས,藏文字符,,ལ,ྟ,,,,མ,ས
ལྟིགས,藏文字符,,ལ,ྟ,,,ི,ག,ས
ལྟིངས,藏文字符,,ལ,ྟ,,,ི,ང,ས
ལྟིབས,藏文字符,,ལ,ྟ,,,ི,བ,ས
ལྟིམས,藏文字符,,ལ,ྟ,,,ི,མ,ས
ལྟུགས,藏文字符,,ལ,ྟ,,,ུ,ག,ས
ལྟུངས,藏文字符,,ལ,ྟ,,,ུ,ང,ས
ལྟུབས,藏文字符,,ལ,ྟ,,,ུ,བ,ས
ལྟུམས,藏文字符,,ལ,ྟ,,,ུ,མ,ས
ལྟེགས,藏文字符,,ལ,ྟ,,,ེ,ག,ས
ལྟེངས,藏文字符,,ལ,ྟ,,,ེ,ང,ས
ལྟེབས,藏文字符,,ལ,ྟ,,,ེ,བ,ས
ལྟེམས,藏文字符,,ལ,ྟ,,,ེ,མ,ས
ལྟོགས,藏文字符,,ལ,ྟ,,,ོ,ག,ས
ལྟོངས,藏文字符,,ལ,ྟ,,,ོ,ང,ས
ལྟོབས,藏文字符,,ལ,ྟ,,,ོ,བ,ས
ལྟོམས,藏文字符,,ལ,ྟ,,,ོ,མ,ས
ལྡགས,藏文字符,,ལ,ྡ,,,,ག,ས
ལྡངས,藏文字符,,ལ,ྡ,,,,ང,ས
ལྡབས,藏文字符,,ལ,ྡ,,,,བ,ས
ལྡམས,藏文字符,,ལ,ྡ,,,,མ,ས
ལྡིགས,藏文字符,,ལ,ྡ,,,ི,ག,ས
ལྡིངས,藏文字符,,ལ,ྡ,,,ི,ང,ས
ལྡིབས,藏文字符,,ལ,ྡ,,,ི,བ,ས
ལྡིམས,藏文字符,,ལ,ྡ,,,ི,མ,ས
ལྡུགས,藏文字符,,ལ,ྡ,,,ུ,ག,ས
ལྡུངས,藏文字符,,ལ,ྡ,,,ུ,ང,ས
ལྡུབས,藏文字符,,ལ,ྡ,,,ུ,བ,ས
ལྡུམས,藏文字符,,ལ,ྡ,,,ུ,མ,ས
ལྡེགས,藏文字符,,ལ,ྡ,,,ེ,ག,ས
ལྡེངས,藏文字符,,ལ,ྡ,,,ེ,ང,ས
ལྡེབས,藏文字符,,ལ,ྡ,,,ེ,བ,ས
ལྡེམས,藏文字符,,ལ,ྡ,,,ེ,མ,ས
ལྡོགས,藏文字符,,ལ,ྡ,,,ོ,ག,ས
ལྡོངས,藏文字符,,ལ,ྡ,,,ོ,ང,ས
ལྡོབས,藏文字符,,ལ,ྡ,,,ོ,བ,ས
ལྡོམས,藏文字符,,ལ,ྡ,,,ོ,མ,ས
ལྤགས,藏文字符,,ལ,ྤ,,,,ག,ས
ལྤངས,藏文字符,,ལ,ྤ,,,,ང,ས
ལྤབས,藏文字符,,ལ,ྤ,,,,བ,ས
ལྤམས,藏文字符,,ལ,ྤ,,,,མ,ས
ལྤིགས,藏文字符,,ལ,ྤ,,,ི,ག,ས
ལྤིངས,藏文字符,,ལ,ྤ,,,ི,ང,ས
ལྤིབས,藏文字符,,ལ,ྤ,,,ི,བ,ས
ལྤིམས,藏文字符,,ལ,ྤ,,,ི,མ,ས
ལྤུགས,藏文字符,,ལ,ྤ,,,ུ,ག,ས
ལྤུངས,藏文字符,,ལ,ྤ,,,ུ,ང,ས
ལྤུབས,藏文字符,,ལ,ྤ,,,ུ,བ,ས
ལྤུམས,藏文字符,,ལ,ྤ,,,ུ,མ,ས
ལྤེགས,藏文字符,,ལ,ྤ,,,ེ,ག,ས
ལྤེངས,藏文字符,,ལ,ྤ,,,ེ,ང,ས
ལྤེབས,藏文字符,,ལ,ྤ,,,ེ,བ,ས
ལྤེམས,藏文字符,,ལ,ྤ,,,ེ,མ,ས
ལྤོགས,藏文字符,,ལ,ྤ,,,ོ,ག,ས
ལྤོངས,藏文字符,,ལ,ྤ,,,ོ,ང,ས
ལྤོབས,藏文字符,,ལ,ྤ,,,ོ,བ,ས
ལྤོམས,藏文字符,,ལ,ྤ,,,ོ,མ,ས
ལྦགས,藏文字符,,ལ,ྦ,,,,ག,ས
ལྦངས,藏文字符,,ལ,ྦ,,,,ང,ས
ལྦབས,藏文字符,,ལ,ྦ,,,,བ,ས
ལྦམས,藏文字符,,ལ,ྦ,,,,མ,ས
ལྦིགས,藏文字符,,ལ,ྦ,,,ི,ག,ས
ལྦིངས,藏文字符,,ལ,ྦ,,,ི,ང,ས
ལྦིབས,藏文字符,,ལ,ྦ,,,ི,བ,ས
ལྦིམས,藏文字符,,ལ,ྦ,,,ི,མ,ས
ལྦུགས,藏文字符,,ལ,ྦ,,,ུ,ག,ས
ལྦུངས,藏文字符,,ལ,ྦ,,,ུ,ང,ས
ལྦུབས,藏文字符,,ལ,ྦ,,,ུ,བ,ས
ལྦུམས,藏文字符,,ལ,ྦ,,,ུ,མ,ས
ལྦེགས,藏文字符,,ལ,ྦ,,,ེ,ག,ས
ལྦེངས,藏文字符,,ལ,ྦ,,,ེ,ང,ས
ལྦེབས,藏文字符,,ལ,ྦ,,,ེ,བ,ས
ལྦེམས,藏文字符,,ལ,ྦ,,,ེ,མ,ས
ལྦོགས,藏文字符,,ལ,ྦ,,,ོ,ག,ས
ལྦོངས,藏文字符,,ལ,ྦ,,,ོ,ང,ས
ལྦོབས,藏文字符,,ལ,ྦ,,,ོ,བ,ས
ལྦོམས,藏文字符,,ལ,ྦ,,,ོ,མ,ས
ལྷགས,藏文字符,,ལ,ྷ,,,,ག,ས
ལྷངས,藏文字符,,ལ,ྷ,,,,ང,ས
ལྷབས,藏文字符,,ལ,ྷ,,,,བ,ས
ལྷམས,藏文字符,,ལ,ྷ,,,,མ,ས
ལྷིགས,藏文字符,,ལ,ྷ,,,ི,ག,ས
ལྷིངས,藏文字符,,ལ,ྷ,,,ི,ང,ས
ལྷིབས,藏文字符,,ལ,ྷ,,,ི,བ,ས
ལྷིམས,藏文字符,,ལ,ྷ,,,ི,མ,ས
ལྷུགས,藏文字符,,ལ,ྷ,,,ུ,ག,ས
ལྷུངས,藏文字符,,ལ,ྷ,,,ུ,ང,ས
ལྷུབས,藏文字符,,ལ,ྷ,,,ུ,བ,ས
ལྷུམས,藏文字符,,ལ,ྷ,,,ུ,མ,ས
ལྷེགས,藏文字符,,ལ,ྷ,,,ེ,ག,ས
ལྷེངས,藏文字符,,ལ,ྷ,,,ེ,ང,ས
ལྷེབས,藏文字符,,ལ,ྷ,,,ེ,བ,ས
ལྷེམས,藏文字符,,ལ,ྷ,,,ེ,མ,ས
ལྷོགས,藏文字符,,ལ,ྷ,,,ོ,ག,ས
ལྷོངས,藏文字符,,ལ,ྷ,,,ོ,ང,ས
ལྷོབས,藏文字符,,ལ,ྷ,,,ོ,བ,ས
ལྷོམས,藏文字符,,ལ,ྷ,,,ོ,མ,ས
སྐགས,藏文字符,,ས,ྐ,,,,ག,ས
སྐངས,藏文字符,,ས,ྐ,,,,ང,ས
སྐབས,藏文字符,,ས,ྐ,,,,བ,ས
སྐམས,藏文字符,,ས,ྐ,,,,མ,ས
སྐིགས,藏文字符,,ས,ྐ,,,ི,ག,ས
སྐིངས,藏文字符,,ས,ྐ,,,ི,ང,ས
སྐིབས,藏文字符,,ས,ྐ,,,ི,བ,ས
སྐིམས,藏文字符,,ས,ྐ,,,ི,མ,ས
སྐུགས,藏文字符,,ས,ྐ,,,ུ,ག,ས
སྐུངས,藏文字符,,ས,ྐ,,,ུ,ང,ས
སྐུབས,藏文字符,,ས,ྐ,,,ུ,བ,ས
སྐུམས,藏文字符,,ས,ྐ,,,ུ,མ,ས
སྐེགས,藏文字符,,ས,ྐ,,,ེ,ག,ས
སྐེངས,藏文字符,,ས,ྐ,,,ེ,ང,ས
སྐེབས,藏文字符,,ས,ྐ,,,ེ,བ,ས
སྐེམས,藏文字符,,ས,ྐ,,,ེ,མ,ས
སྐོགས,藏文字符,,ས,ྐ,,,ོ,ག,ས
སྐོངས,藏文字符,,ས,ྐ,,,ོ,ང,ས
སྐོབས,藏文字符,,ས,ྐ,,,ོ,བ,ས
སྐོམས,藏文字符,,ས,ྐ,,,ོ,མ,ས
སྒགས,藏文字符,,ས,ྒ,,,,ག,ས
སྒངས,藏文字符,,ས,ྒ,,,,ང,ས
སྒབས,藏文字符,,ས,ྒ,,,,བ,ས
སྒམས,藏文字符,,ས,ྒ,,,,མ,ས
སྒིགས,藏文字符,,ས,ྒ,,,ི,ག,ས
སྒིངས,藏文字符,,ས,ྒ,,,ི,ང,ས
སྒིབས,藏文字符,,ས,ྒ,,,ི,བ,ས
སྒིམས,藏文字符,,ས,ྒ,,,ི,མ,ས
སྒུགས,藏文字符,,ས,ྒ,,,ུ,ག,ས
སྒུངས,藏文字符,,ས,ྒ,,,ུ,ང,ས
སྒུབས,藏文字符,,ས,ྒ,,,ུ,བ,ས
སྒུམས,藏文字符,,ས,ྒ,,,ུ,མ,ས
སྒེགས,藏文字符,,ས,ྒ,,,ེ,ག,ས
སྒེངས,藏文字符,,ས,ྒ,,,ེ,ང,ས
སྒེབས,藏文字符,,ས,ྒ,,,ེ,བ,ས
སྒེམས,藏文字符,,ས,ྒ,,,ེ,མ,ས
སྒོགས,藏文字符,,ས,ྒ,,,ོ,ག,ས
སྒོངས,藏文字符,,ས,ྒ,,,ོ,ང,ས
སྒོབས,藏文字符,,ས,ྒ,,,ོ,བ,ས
སྒོམས,藏文字符,,ས,ྒ,,,ོ,མ,ས
སྔགས,藏文字符,,ས,ྔ,,,,ག,ས
སྔངས,藏文字符,,ས,ྔ,,,,ང,ས
སྔབས,藏文字符,,ས,ྔ,,,,བ,ས
སྔམས,藏文字符,,ས,ྔ,,,,མ,ས
སྔིགས,藏文字符,,ས,ྔ,,,ི,ག,ས
སྔིངས,藏文字符,,ས,ྔ,,,ི,ང,ས
སྔིབས,藏文字符,,ས,ྔ,,,ི,བ,ས
སྔིམས,藏文字符,,ས,ྔ,,,ི,མ,ས
སྔུགས,藏文字符,,ས,ྔ,,,ུ,ག,ས
སྔུངས,藏文字符,,ས,ྔ,,,ུ,ང,ས
སྔུབས,藏文字符,,ས,ྔ,,,ུ,བ,ས
སྔུམས,藏文字符,,ས,ྔ,,,ུ,མ,ས
སྔེགས,藏文字符,,ས,ྔ,,,ེ,ག,ས
སྔེངས,藏文字符,,ས,ྔ,,,ེ,ང,ས
སྔེབས,藏文字符,,ས,ྔ,,,ེ,བ,ས
སྔེམས,藏文字符,,ས,ྔ,,,ེ,མ,ས
སྔོགས,藏文字符,,ས,ྔ,,,ོ,ག,ས
སྔོངས,藏文字符,,ས,ྔ,,,ོ,ང,ས
སྔོབས,藏文字符,,ས,ྔ,,,ོ,བ,ས
སྔོམས,藏文字符,,ས,ྔ,,,ོ,མ,ས
སྙགས,藏文字符,,ས,ྙ,,,,ག,ས
སྙངས,藏文字符,,ས,ྙ,,,,ང,ས
སྙབས,藏文字符,,ས,ྙ,,,,བ,ས
སྙམས,藏文字符,,ས,ྙ,,,,མ,ས
སྙིགས,藏文字符,,ས,ྙ,,,ི,ག,ས
སྙིངས,藏文字符,,ས,ྙ,,,ི,ང,ས
སྙིབས,藏文字符,,ས,ྙ,,,ི,བ,ས
སྙིམས,藏文字符,,ས,ྙ,,,ི,མ,ས
སྙུགས,藏文字符,,ས,ྙ,,,ུ,ག,ས
སྙུངས,藏文字符,,ས,ྙ,,,ུ,ང,ས
སྙུབས,藏文字符,,ས,ྙ,,,ུ,བ,ས
སྙུམས,藏文字符,,ས,ྙ,,,ུ,མ,ས
སྙེགས,藏文字符,,ས,ྙ,,,ེ,ག,ས
སྙེངས,藏文字符,,ས,ྙ,,,ེ,ང,ས
སྙེབས,藏文字符,,ས,ྙ,,,ེ,བ,ས
སྙེམས,藏文字符,,ས,ྙ,,,ེ,མ,ས
སྙོགས,藏文字符,,ས,ྙ,,,ོ,ག,ས
སྙོངས,藏文字符,,ས,ྙ,,,ོ,ང,ས
སྙོབས,藏文字符,,ས,ྙ,,,ོ,བ,ས
སྙོམས,藏文字符,,ས,ྙ,,,ོ,མ,ས
སྟགས,藏文字符,,ས,ྟ,,,,ག,ས
སྟངས,藏文字符,,ས,ྟ,,,,ང,ས
སྟབས,藏文字符,,ས,ྟ,,,,བ,ས
སྟམས,藏文字符,,ས,ྟ,,,,མ,ས
སྟིགས,藏文字符,,ས,ྟ,,,ི,ག,ས
སྟིངས,藏文字符,,ས,ྟ,,,ི,ང,ས
སྟིབས,藏文字符,,ས,ྟ,,,ི,བ,ས
སྟིམས,藏文字符,,ས,ྟ,,,ི,མ,ས
སྟུགས,藏文字符,,ས,ྟ,,,ུ,ག,ས
སྟུངས,藏文字符,,ས,ྟ,,,ུ,ང,ས
སྟུབས,藏文字符,,ས,ྟ,,,ུ,བ,ས
སྟུམས,藏文字符,,ས,ྟ,,,ུ,མ,ས
སྟེགས,藏文字符,,ས,ྟ,,,ེ,ག,ས
སྟེངས,藏文字符,,ས,ྟ,,,ེ,ང,ས
སྟེབས,藏文字符,,ས,ྟ,,,ེ,བ,ས
སྟེམས,藏文字符,,ས,ྟ,,,ེ,མ,ས
སྟོགས,藏文字符,,ས,ྟ,,,ོ,ག,ས
སྟོངས,藏文字符,,ས,ྟ,,,ོ,ང,ས
སྟོབས,藏文字符,,ས,ྟ,,,ོ,བ,ས
སྟོམས,藏文字符,,ས,ྟ,,,ོ,མ,ས
སྡགས,藏文字符,,ས,ྡ,,,,ག,ས
སྡངས,藏文字符,,ས,ྡ,,,,ང,ས
སྡབས,藏文字符,,ས,ྡ,,,,བ,ས
སྡམས,藏文字符,,ས,ྡ,,,,མ,ས
སྡིགས,藏文字符,,ས,ྡ,,,ི,ག,ས
སྡིངས,藏文字符,,ས,ྡ,,,ི,ང,ས
སྡིབས,藏文字符,,ས,ྡ,,,ི,བ,ས
སྡིམས,藏文字符,,ས,ྡ,,,ི,མ,ས
སྡུགས,藏文字符,,ས,ྡ,,,ུ,ག,ས
སྡུངས,藏文字符,,ས,ྡ,,,ུ,ང,ས
སྡུབས,藏文字符,,ས,ྡ,,,ུ,བ,ས
སྡུམས,藏文字符,,ས,ྡ,,,ུ,མ,ས
སྡེགས,藏文字符,,ས,ྡ,,,ེ,ག,ས
སྡེངས,藏文字符,,ས,ྡ,,,ེ,ང,ས
སྡེབས,藏文字符,,ས,ྡ,,,ེ,བ,ས
སྡེམས,藏文字符,,ས,ྡ,,,ེ,མ,ས
སྡོགས,藏文字符,,ས,ྡ,,,ོ,ག,ས
སྡོངས,藏文字符,,ས,ྡ,,,ོ,ང,ས
སྡོབས,藏文字符,,ས,ྡ,,,ོ,བ,ས
སྡོམས,藏文字符,,ས,ྡ,,,ོ,མ,ས
སྣགས,藏文字符,,ས,ྣ,,,,ག,ས
སྣངས,藏文字符,,ས,ྣ,,,,ང,ས
སྣབས,藏文字符,,ས,ྣ,,,,བ,ས
སྣམས,藏文字符,,ས,ྣ,,,,མ,ས
སྣིགས,藏文字符,,ས,ྣ,,,ི,ག,ས
སྣིངས,藏文字符,,ས,ྣ,,,ི,ང,ས
སྣིབས,藏文字符,,ས,ྣ,,,ི,བ,ས
སྣིམས,藏文字符,,ས,ྣ,,,ི,མ,ས
སྣུགས,藏文字符,,ས,ྣ,,,ུ,ག,ས
སྣུངས,藏文字符,,ས,ྣ,,,ུ,ང,ས
སྣུབས,藏文字符,,ས,ྣ,,,ུ,བ,ས
སྣུམས,藏文字符,,ས,ྣ,,,ུ,མ,ས
སྣེགས,藏文字符,,ས,ྣ,,,ེ,ག,ས
སྣེངས,藏文字符,,ས,ྣ,,,ེ,ང,ས
སྣེབས,藏文字符,,ས,ྣ,,,ེ,བ,ས
སྣེམས,藏文字符,,ས,ྣ,,,ེ,མ,ས
སྣོགས,藏文字符,,ས,ྣ,,,ོ,ག,ས
སྣོངས,藏文字符,,ས,ྣ,,,ོ,ང,ས
སྣོབས,藏文字符,,ས,ྣ,,,ོ,བ,ས
སྣོམས,藏文字符,,ས,ྣ,,,ོ,མ,ས
སྤགས,藏文字符,,ས,ྤ,,,,ག,ས
སྤངས,藏文字符,,ས,ྤ,,,,ང,ས
སྤབས,藏文字符,,ས,ྤ,,,,བ,ས
སྤམས,藏文字符,,ས,ྤ,,,,མ,ས
སྤིགས,藏文字符,,ས,ྤ,,,ི,ག,ས
སྤིངས,藏文字符,,ས,ྤ,,,ི,ང,ས
སྤིབས,藏文字符,,ས,ྤ,,,ི,བ,ས
སྤིམས,藏文字符,,ས,ྤ,,,ི,མ,ས
སྤུགས,藏文字符,,ས,ྤ,,,ུ,ག,ས
སྤུངས,藏文字符,,ས,ྤ,,,ུ,ང,ས
སྤུབས,藏文字符,,ས,ྤ,,,ུ,བ,ས
སྤུམས,藏文字符,,ས,ྤ,,,ུ,མ,ས
སྤེགས,藏文字符,,ས,ྤ,,,ེ,ག,ས
སྤེངས,藏文字符,,ས,ྤ,,,ེ,ང,ས
སྤེབས,藏文字符,,ས,ྤ,,,ེ,བ,ས
སྤེམས,藏文字符,,ས,ྤ,,,ེ,མ,ས
སྤོགས,藏文字符,,ས,ྤ,,,ོ,ག,ས
སྤོངས,藏文字符,,ས,ྤ,,,ོ,ང,ས
སྤོབས,藏文字符,,ས,ྤ,,,ོ,བ,ས
སྤོམས,藏文字符,,ས,ྤ,,,ོ,མ,ས
སྦགས,藏文字符,,ས,ྦ,,,,ག,ས
སྦངས,藏文字符,,ས,ྦ,,,,ང,ས
སྦབས,藏文字符,,ས,ྦ,,,,བ,ས
སྦམས,藏文字符,,ས,ྦ,,,,མ,ས
སྦིགས,藏文字符,,ས,ྦ,,,ི,ག,ས
སྦིངས,藏文字符,,ས,ྦ,,,ི,ང,ས
སྦིབས,藏文字符,,ས,ྦ,,,ི,བ,ས
སྦིམས,藏文字符,,ས,ྦ,,,ི,མ,ས
སྦུགས,藏文字符,,ས,ྦ,,,ུ,ག,ས
སྦུངས,藏文字符,,ས,ྦ,,,ུ,ང,ས
སྦུབས,藏文字符,,ས,ྦ,,,ུ,བ,ས
སྦུམས,藏文字符,,ས,ྦ,,,ུ,མ,ས
སྦེགས,藏文字符,,ས,ྦ,,,ེ,ག,ས
སྦེངས,藏文字符,,ས,ྦ,,,ེ,ང,ས
སྦེབས,藏文字符,,ས,ྦ,,,ེ,བ,ས
སྦེམས,藏文字符,,ས,ྦ,,,ེ,མ,ས
སྦོགས,藏文字符,,ས,ྦ,,,ོ,ག,ས
སྦོངས,藏文字符,,ས,ྦ,,,ོ,ང,ས
སྦོབས,藏文字符,,ས,ྦ,,,ོ,བ,ས
སྦོམས,藏文字符,,ས,ྦ,,,ོ,མ,ས
སྨགས,藏文字符,,ས,ྨ,,,,ག,ས
སྨངས,藏文字符,,ས,ྨ,,,,ང,ས
སྨབས,藏文字符,,ས,ྨ,,,,བ,ས
སྨམས,藏文字符,,ས,ྨ,,,,མ,ས
སྨིགས,藏文字符,,ས,ྨ,,,ི,ག,ས
སྨིངས,藏文字符,,ས,ྨ,,,ི,ང,ས
སྨིབས,藏文字符,,ས,ྨ,,,ི,བ,ས
སྨིམས,藏文字符,,ས,ྨ,,,ི,མ,ས
སྨུགས,藏文字符,,ས,ྨ,,,ུ,ག,ས
སྨུངས,藏文字符,,ས,ྨ,,,ུ,ང,ས
སྨུབས,藏文字符,,ས,ྨ,,,ུ,བ,ས
སྨུམས,藏文字符,,ས,ྨ,,,ུ,མ,ས
སྨེགས,藏文字符,,ས,ྨ,,,ེ,ག,ས
སྨེངས,藏文字符,,ས,ྨ,,,ེ,ང,ས
སྨེབས,藏文字符,,ས,ྨ,,,ེ,བ,ས
སྨེམས,藏文字符,,ས,ྨ,,,ེ,མ,ས
སྨོགས,藏文字符,,ས,ྨ,,,ོ,ག,ས
སྨོངས,藏文字符,,ས,ྨ,,,ོ,ང,ས
སྨོབས,藏文字符,,ས,ྨ,,,ོ,བ,ས
སྨོམས,藏文字符,,ས,ྨ,,,ོ,མ,ས
སྩགས,藏文字符,,ས,ྩ,,,,ག,ས
སྩངས,藏文字符,,ས,ྩ,,,,ང,ས
སྩབས,藏文字符,,ས,ྩ,,,,བ,ས
སྩམས,藏文字符,,ས,ྩ,,,,མ,ས
སྩིགས,藏文字符,,ས,ྩ,,,ི,ག,ས
སྩིངས,藏文字符,,ས,ྩ,,,ི,ང,ས
སྩིབས,藏文字符,,ས,ྩ,,,ི,བ,ས
སྩིམས,藏文字符,,ས,ྩ,,,ི,མ,ས
སྩུགས,藏文字符,,ས,ྩ,,,ུ,ག,ས
སྩུངས,藏文字符,,ས,ྩ,,,ུ,ང,ས
སྩུབས,藏文字符,,ས,ྩ,,,ུ,བ,ས
སྩུམས,藏文字符,,ས,ྩ,,,ུ,མ,ས
སྩེགས,藏文字符,,ས,ྩ,,,ེ,ག,ས
སྩེངས,藏文字符,,ས,ྩ,,,ེ,ང,ས
སྩེབས,藏文字符,,ས,ྩ,,,ེ,བ,ས
སྩེམས,藏文字符,,ས,ྩ,,,ེ,མ,ས
སྩོགས,藏文字符,,ས,ྩ,,,ོ,ག,ས
སྩོངས,藏文字符,,ས,ྩ,,,ོ,ང,ས
སྩོབས,藏文字符,,ས,ྩ,,,ོ,བ,ས
སྩོམས,藏文字符,,ས,ྩ,,,ོ,མ,ས
ཀྱགས,藏文字符,,,ཀ,ྱ,,,ག,ས
ཀྱངས,藏文字符,,,ཀ,ྱ,,,ང,ས
ཀྱབས,藏文字符,,,ཀ,ྱ,,,བ,ས
ཀྱམས,藏文字符,,,ཀ,ྱ,,,མ,ས
ཀྱིགས,藏文字符,,,ཀ,ྱ,,ི,ག,ས
ཀྱིངས,藏文字符,,,ཀ,ྱ,,ི,ང,ས
ཀྱིབས,藏文字符,,,ཀ,ྱ,,ི,བ,ས
ཀྱིམས,藏文字符,,,ཀ,ྱ,,ི,མ,ས
ཀྱུགས,藏文字符,,,ཀ,ྱ,,ུ,ག,ས
ཀྱུངས,藏文字符,,,ཀ,ྱ,,ུ,ང,ས
ཀྱུབས,藏文字符,,,ཀ,ྱ,,ུ,བ,ས
ཀྱུམས,藏文字符,,,ཀ,ྱ,,ུ,མ,ས
ཀྱེགས,藏文字符,,,ཀ,ྱ,,ེ,ག,ས
ཀྱེངས,藏文字符,,,ཀ,ྱ,,ེ,ང,ས
